link,comment_notes,comment,completion_link
https://unsplash.com/photos/dKxvmVH7Bi0,,"Shutter speed is deceptively fast - 1/200s - to capture this action-filled scene that gives you a feel for what life is like in Hong Kong. The 'normal' focal length (but on the tighter side) of 60mm gives a really human perspective while also taking you in a bit closer to the driver's casual, 'daily grind' expression. Admittedly this is a hard one to nail the aperture as the key giveaways for aperture - bokeh and focal planes - are obscured by the motion of the image (but you can infer it somewhat from a combination of the scene brightness, shutter speed and ISO). Finally, I love the colours  that give this image a classic feeling.",
https://unsplash.com/photos/assorted-color-houses-ynDYB8bfRlE,,"An absolutely stunning image that makes the most of long lenses. At 560mm the image compression almost makes the houses feel like they are pushing each other around in a crowd. The sharp geometry of the houses also contrasts with the more organic rocky background. The other camera settings at f/8 and 1/500s capture the right amount of depth and brightness for the scene to feel organic, despite its 'pushed together' feeling.",
https://unsplash.com/photos/cozy-living-room-with-eames-lounge-chair-and-fireplace-6uYe3CbKb8A,,"This feels like an image that would go in a nice home styling magazine. For that reason, the 28mm focal length is perfect - 'normal' enough that it feels like you'd see this exact frame if you walked into this room but on the 'wider' end to give the elements of the room space to breathe a bit. f/10 is required to give the image sharpness across the edges - but this relatively 'slow' aperture means that we have to compensate with a 1/8s shutter speed (not a big deal in a static scene like this where the photographer almost certainly has a tripod) to get the bright and airy feeling.",
https://unsplash.com/photos/woman-with-pink-flower-on-her-face-dT7IAFT7v_o,,"What is she dreaming of? Her slightly open mouth makes me wonder. The closeness of 105mm focal length really brings me into this question as well. The blurry plants in front of her face might make you think that it's a 'fast' (low number) aperture, but at 105mm, there are actually a surprising amount of plants in-focus (and her face is basically entirely in-focus). This implies a 'slow' (high number) aperture of f/9. The shutter speed of 1/500s is typical of an outdoor daytime setting.",
https://unsplash.com/photos/parents-holding-their-newborn-baby-indoors-WOzS69lhz_U,,"What a precious frame for us to observe. The 35mm focal length makes sure we feel like we're in the scene, but also is wide enough to capture the doorframe that separates us from directly sharing that family moment. In a way, the distance makes us feel even more lucky that we can even witness a moment like this! Still, f/2.8 keeps the focus firmly on the family without other distractions in the scene, and the 1/320s shutter speed keeps is fast enough to make sure any slow movements don't lead to blurriness. ",
https://unsplash.com/photos/woman-in-floral-dress-stands-near-orange-truck-and-flowers-HiP7PkCB9S4,,"The dominant reds in the scene make for a punchy image, and the 28mm focal length (full frame equivalent after applying a 1.6 factor to 18mm) capture the height of the truck and the foreground flowers beautifully. f/8 is a natural aperture to gain a natural-looking sharpness across the image. It also appears that the photographer is using some external lighting equipment - the model looks too brightly illuminated for a sky where it seems that the sun is behind the truck - enabling them to shoot at 1/160s and ISO 200 (to minimise grain) where they may have otherwise needed a higher ISO.",
https://unsplash.com/photos/a-squirrel-clings-to-a-tree-trunk-u5DKSJ-sCnE,,"Squirrels are natural comics, and this one is isolated with a long 350mm lens to capture their expression - as if they were about to ask you for something. The focal plane falls away relatively quickly after striking the squirrel's nose (it's blurry by the time we reach the cheeks) which, for such a long focal length, lands it at f7.1. Getting a squirrel frozen like this requires a quick shutter (but not as fast as an F1 car) and 1/500s is perfect.",
https://unsplash.com/photos/a-delicate-pink-magnolia-flower-blooms-on-a-branch-TzKBCfzQ2WI,,"Admittedly the focal length for this image is quite hard to read because the scene doesn't seem packed with other flowers - something you might expect with a long focal length lens. It turns out to be about 130mm (full frame equivalent after applying 1.5 crop factor to 85mm) which starts to feel right though as there are actually many other flowers - they are just bokeh'd out by the fast (lower number) aperture of f/2! The frame has a feeling of a bright sunny day and with such a fast aperture, a 1/1000s shutter speed makes sense.",
https://unsplash.com/photos/modern-building-facade-with-repeating-windows-and-dark-panels-h9WqOEJiL7g,,"This wonderful abtract architecture photo nicely makes us pay attention to both the sharp lines and makes us think about what those red lights are for. The 210mm (full frame equivalent applying a 1.6 crop factor to 135mm) lens helps craft this really tight geomtry. Interestingly, the photographer used f/3.2 and not a 'slower' (bigger number) aperture that would have led to more corner-to-corner sharpness; but clearly that does not detract from the image. This aperture also enabled a fast shutter speed of 1/1600s.",
https://unsplash.com/photos/man-working-at-a-street-food-cart-at-night-PgZSA6veVDo,,A 50mm focal length brings us into the context of this street (which looks recently busy judging by the people in the background) while focusing on the diligent work of this street vendor. This photographer also effectively uses a fast (lower number) aperture to both isolate a the subject from the rest of the scene and capture enough light for us to really feel what's going on. A 1/125s shutter speed is probably the slowest that we can get away with - it captures enough light (in combination with the f/1.8 aperture) but also freezes the calm movements of the subject.,
https://unsplash.com/photos/woman-with-umbrella-walks-down-rainy-city-street-IkZ__XhtAyI,"dreamy street shot of a woman walking down the street with an umbrella. Moderate contrast, with light that draws you to the subject. Street context includes pavement tiles and messy shopfronts.",,
https://unsplash.com/photos/terraced-vineyards-on-a-steep-hillside-x_qnbEbXTBg,"daytime shot of agricultural terraces with emphasis on geometry and shadows. Criss-crossing lines of terraces create a texture that you can almost feel, empahseised by the 105mm focal length.",,
https://unsplash.com/photos/man-with-sunglasses-and-ring-touches-his-chin-IYFdZLC1gv0,Tight portrait of a man with deep black sunglasses that make us wonder who he is. Some context to the image including the opposite end of the tunnel in the background that is very blurry. A close shot tha is sharp on his uncaring expression but fast aperture that's creates blur across his ring fingers.,,
https://unsplash.com/photos/abstract-motion-blur-of-a-cyclist-at-night-KIT0nDbNZ9w,"An abstract image where we feel the chaos of riding a bike on a busy street with a long shutter speed and a wide focal length to get the whole bike. It can be hard to pick the aperture in a shot like this but one hint are the thinner, sharper light trails in the top of the image which implies a slower aperture.",,
https://unsplash.com/photos/majestic-yosemite-valley-with-a-distant-waterfall-aqJqJ6qUauE,The image provides a deep sense of calm that comes with the satisfaction of completing a hike and winning 'the view'. The 35mm perspective is very human and isn't aggressive about bringing our attention to the waterfall. Sharpness in the whole image at f/10. ,,
https://unsplash.com/photos/beagle-dog-with-ears-flying-out-car-window-XSknXjyCVcs,The joy of being a dog in a car. Clear fous on the dog's satisfaction smile but wide enough that it almost looks like we're peeking at them through the wing mirror. Little motion blur across the whole image implying a fast shutter speed for a moving car.,,
https://unsplash.com/photos/a-brown-heron-preens-its-feathers-with-its-beak-v_aQEkEiUSo,A stunning portrait of a heron with soft natural light almost working like a spotlight against the creamy background. Getting such a close shot requires a very long lens and a medium aperture to get the sharpness of the fetuers across it's whole face and neck. ,,
